Ganancias por hora promedio,Años de educación,Años de experiencia,Género
3.0999999046325684,11,2,F
3.240000009536743,12,22,F
3.0,11,2,M
6.0,8,44,M
5.300000190734863,12,7,M
8.75,16,9,M
11.25,18,15,M
5.0,12,5,F
3.5999999046325684,12,26,F
18.18000030517578,17,22,M
6.25,16,8,F
8.130000114440918,13,3,F
8.770000457763672,12,15,M
5.5,12,18,M
22.200000762939453,12,31,M
17.329999923706055,16,14,M
7.5,12,10,F
10.630000114440918,13,16,F
3.5999999046325684,12,13,F
4.5,12,36,F
6.880000114440918,12,11,F
8.479999542236328,12,29,M
6.329999923706055,16,9,F
0.5299999713897705,12,3,F
6.0,11,37,F
9.5600004196167,16,3,M
7.78000020980835,16,11,M
12.5,16,31,M
12.5,15,30,M
3.25,8,9,F
13.0,14,23,M
4.5,14,2,F
9.68000030517578,13,16,F
5.0,12,7,F
4.679999828338623,12,3,F
4.269999980926514,16,22,F
6.150000095367432,12,15,F
3.509999990463257,4,39,M
3.0,14,3,F
6.25,12,11,F
7.809999942779541,12,3,F
10.0,12,20,F
4.5,14,16,F
4.0,11,45,F
6.380000114440918,13,11,F
13.699999809265137,15,20,M
1.6699999570846558,10,1,M
2.930000066757202,12,36,F
3.650000095367432,14,9,M
2.900000095367432,12,15,F
1.6299999952316284,12,18,F
8.600000381469727,16,3,F
5.0,12,15,M
6.0,12,7,M
2.5,12,2,M
3.25,15,3,M
3.400000095367432,16,1,F
10.0,8,13,M
21.6299991607666,18,8,F
4.380000114440918,16,7,M
11.710000038146973,13,40,F
12.390000343322754,14,42,M
6.25,10,36,M
3.7100000381469727,10,13,F
7.78000020980835,14,9,M
19.979999542236328,14,26,M
6.25,16,7,F
10.0,12,25,M
5.710000038146973,16,10,M
2.0,12,3,F
5.710000038146973,16,3,F
13.079999923706056,17,17,M
4.909999847412109,12,17,M
2.9100000858306885,12,20,F
3.75,12,7,F
11.899999618530272,13,24,M
4.0,12,28,F
3.0999999046325684,12,2,F
8.449999809265137,12,19,M
7.139999866485596,18,13,M
4.5,9,22,M
4.650000095367432,16,3,M
2.900000095367432,10,4,F
6.670000076293945,12,7,M
3.5,12,6,F
3.259999990463257,12,13,F
3.25,12,14,F
8.0,12,14,F
9.850000381469728,8,40,M
7.5,12,11,M
5.909999847412109,12,14,M
11.760000228881836,14,40,M
3.0,12,1,F
4.809999942779541,12,2,F
6.5,12,4,F
4.0,9,19,F
3.5,13,1,M
13.15999984741211,12,34,M
4.25,14,5,M
3.5,12,3,M
5.130000114440918,15,6,F
3.75,12,14,F
4.5,12,35,F
7.630000114440918,12,8,F
15.0,14,7,M
6.849999904632568,15,11,F
13.329999923706056,12,14,M
6.670000076293945,12,35,M
2.5299999713897705,12,46,F
9.800000190734863,17,7,M
3.369999885559082,11,45,M
24.979999542236328,18,29,M
5.400000095367432,12,6,M
6.110000133514404,14,15,M
4.199999809265137,14,33,F
3.75,10,15,M
3.5,14,5,F
3.640000104904175,12,7,M
3.799999952316284,15,6,M
3.0,8,33,F
5.0,16,2,F
4.630000114440918,14,4,F
3.0,15,1,M
3.200000047683716,12,29,F
3.910000085830689,18,17,M
6.429999828338623,16,17,F
5.480000019073486,10,36,F
1.5,8,31,M
2.900000095367432,10,23,F
5.0,11,13,M
8.920000076293945,18,3,M
5.0,15,15,M
3.5199999809265137,12,48,M
2.900000095367432,11,6,F
4.5,12,12,M
2.25,12,5,F
5.0,14,19,M
10.0,16,9,M
3.75,2,39,M
10.0,14,28,F
10.949999809265137,16,23,M
7.900000095367432,12,2,M
4.71999979019165,12,15,F
5.840000152587891,13,5,F
3.829999923706055,12,18,F
3.200000047683716,15,2,F
2.0,10,3,F
4.5,12,31,F
11.550000190734863,16,20,F
2.140000104904175,13,34,F
2.380000114440918,9,5,M
3.75,12,11,M
5.519999980926514,13,31,M
6.5,12,8,F
3.0999999046325684,12,2,F
10.0,14,18,M
6.630000114440918,16,3,M
10.0,16,3,M
2.309999942779541,9,4,F
6.880000114440918,18,4,M
2.8299999237060547,10,1,M
3.130000114440918,10,1,F
8.0,13,28,M
4.5,12,47,F
8.649999618530273,18,13,F
2.0,13,2,F
4.75,12,48,F
6.25,13,6,F
6.0,13,8,M
15.380000114440918,13,25,M
14.579999923706056,18,13,F
12.5,12,8,M
5.25,12,19,F
2.1700000762939453,13,1,F
7.139999866485596,12,43,F
6.21999979019165,12,19,F
9.0,12,11,F
10.0,14,43,M
5.769999980926514,10,44,M
4.0,12,22,F
8.75,16,3,M
6.53000020980835,16,3,F
7.599999904632568,12,41,F
5.0,14,5,M
5.0,12,14,F
21.86000061035156,12,24,M
8.640000343322754,12,28,M
3.299999952316284,12,25,M
4.440000057220459,12,3,M
4.550000190734863,12,11,M
3.5,12,7,F
6.25,16,9,M
3.849999904632568,16,5,M
6.179999828338623,14,9,F
2.9100000858306885,11,1,F
6.25,16,2,F
6.25,12,13,F
9.050000190734863,12,10,M
10.0,17,5,M
11.109999656677246,12,30,M
6.880000114440918,12,31,M
8.75,16,1,M
10.0,8,9,M
3.049999952316284,12,10,F
3.0,12,38,F
5.800000190734863,12,19,F
4.099999904632568,16,5,F
8.0,12,26,M
6.150000095367432,12,35,F
2.700000047683716,9,2,F
2.75,13,1,F
3.0,16,19,F
3.0,14,3,F
7.360000133514404,8,36,M
7.5,14,29,M
3.5,13,1,M
8.100000381469727,12,38,F
3.75,18,1,M
3.25,9,29,M
5.829999923706055,8,36,F
3.5,8,4,M
3.3299999237060547,12,45,F
4.0,14,22,F
3.5,12,20,F
6.25,16,5,M
2.950000047683716,8,15,F
5.710000038146973,13,10,F
3.0,9,3,F
22.86000061035156,16,16,M
9.0,12,38,M
8.329999923706055,15,33,M
3.0,11,2,M
5.75,14,6,M
6.760000228881836,12,19,M
10.0,12,29,M
3.0,12,2,M
3.5,18,3,F
3.25,12,4,M
4.0,12,10,F
2.9200000762939453,12,4,F
3.059999942779541,12,14,F
3.200000047683716,12,15,F
4.75,12,19,M
3.0,14,17,F
18.15999984741211,16,29,M
3.5,12,2,F
4.110000133514404,14,5,M
1.9600000381469729,11,38,F
4.289999961853027,12,3,F
3.0,10,47,M
6.449999809265137,12,7,M
5.199999809265137,6,47,M
4.5,13,23,F
3.880000114440918,12,12,M
3.450000047683716,10,11,F
10.90999984741211,12,25,M
4.099999904632568,14,6,F
3.0,13,3,M
5.900000095367432,12,14,M
18.0,18,13,F
4.0,12,9,M
3.0,12,1,M
3.549999952316284,12,6,F
3.0,12,11,F
8.75,12,47,M
2.900000095367432,8,49,F
6.260000228881836,13,37,F
3.5,13,2,F
4.599999904632568,14,7,F
6.0,12,22,M
2.890000104904175,10,8,F
5.579999923706055,16,1,M
4.0,12,43,F
6.0,16,2,M
4.5,12,2,F
2.9200000762939453,14,1,M
4.329999923706055,18,1,M
18.88999938964844,17,26,M
4.28000020980835,13,1,F
4.570000171661377,14,37,F
6.25,15,12,F
2.950000047683716,14,41,M
8.75,12,24,M
8.5,8,38,M
3.75,12,18,F
3.150000095367432,12,26,M
5.0,8,45,M
6.460000038146973,12,27,M
2.0,9,2,M
4.789999961853027,12,41,M
5.78000020980835,16,11,M
3.180000066757202,12,5,F
4.679999828338623,16,3,F
4.099999904632568,12,3,F
2.9100000858306885,12,4,M
6.0,13,21,M
3.5999999046325684,10,34,F
3.950000047683716,6,49,M
7.0,12,6,M
3.0,12,26,F
6.079999923706055,16,9,M
8.630000114440918,12,23,M
3.0,8,33,M
3.75,12,5,F
2.900000095367432,6,49,M
3.0,4,48,M
6.25,11,35,M
3.5,11,23,F
3.0,7,26,F
3.240000009536743,12,16,F
8.020000457763672,18,23,F
3.3299999237060547,12,36,F
5.25,16,4,M
6.25,12,10,M
3.5,14,18,M
2.950000047683716,12,3,M
3.0,10,7,F
4.690000057220459,10,7,M
3.7300000190734863,9,33,F
4.0,10,34,M
4.0,12,8,F
2.900000095367432,12,17,F
3.049999952316284,12,2,F
5.050000190734863,10,5,F
13.949999809265137,16,41,M
18.15999984741211,16,35,M
6.25,16,11,M
5.25,12,4,M
4.789999961853027,12,12,F
3.3499999046325684,7,35,F
3.0,8,33,M
8.430000305175781,16,8,M
5.699999809265137,16,2,M
11.979999542236328,18,8,M
3.5,13,29,F
4.239999771118164,10,14,M
7.0,16,26,F
6.0,14,11,F
12.220000267028809,16,10,M
4.5,12,13,M
3.0,9,23,F
